date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,went_to_shootout,outcome,home_elo,away_elo,elo_diff,home_recent_winrate,away_recent_winrate,home_recent_gd,away_recent_gd,form_diff,h2h_winrate,home_advantage
1890-02-08,Wales,Northern Ireland,5,2,British Home Championship,Shrewsbury,England,True,False,home_win,1410.9966266752565,1310.4962926278808,100.50033404737565,0.4,0.0,1.2,-5.2,0.4,0.75,0
1890-03-15,Northern Ireland,England,1,9,British Home Championship,Belfast,Ireland,False,False,away_win,1298.9995971685505,1588.6720069146006,-289.6724097460501,0.0,0.8,-4.2,3.2,-0.8,0.0,1
1890-03-15,Wales,England,1,3,British Home Championship,Wrexham,Wales,False,False,away_win,1422.4933221345868,1593.752305266156,-171.25898313156927,0.4,0.8,-0.4,3.8,-0.4,0.18181818181818182,1
1890-03-22,Scotland,Wales,5,0,British Home Championship,Paisley,Scotland,False,False,home_win,1697.9359118664481,1413.797854617761,284.1380572486871,0.8,0.4,4.0,0.0,0.4,0.9285714285714286,1
1890-03-29,Northern Ireland,Scotland,1,4,British Home Championship,Belfast,Ireland,False,False,away_win,1293.919298816995,1703.1538493988576,-409.23455058186255,0.0,0.8,-5.0,3.4,-0.8,0.0,1
1890-04-05,Scotland,England,1,1,British Home Championship,Glasgow,Scotland,False,False,draw,1705.9253801094922,1602.447772782982,103.47760732651022,0.8,0.8,3.2,3.4,0.0,0.6111111111111112,1
1891-02-07,Northern Ireland,Wales,7,2,British Home Championship,Belfast,Ireland,False,False,home_win,1291.1477681063604,1408.5799170853516,-117.43214897899111,0.0,0.4,-4.6,-0.4,-0.4,0.1111111111111111,1
1891-03-07,England,Wales,4,1,British Home Championship,Sunderland,England,False,False,home_win,1607.0770175584482,1387.368910143287,219.7081074151613,0.6,0.4,2.8,-1.4,0.19999999999999996,0.75,1
1891-03-07,England,Northern Ireland,6,1,British Home Championship,Wolverhampton,England,False,False,home_win,1614.122097360269,1312.358775048425,301.7633223118439,0.6,0.2,2.4,-2.2,0.39999999999999997,1.0,1
1891-03-21,Wales,Scotland,3,4,British Home Championship,Wrexham,Wales,False,False,away_win,1380.3238303414662,1701.2961353340258,-320.97230499255966,0.2,0.6,-2.4,1.8,-0.39999999999999997,0.0,1
1891-03-28,Scotland,Northern Ireland,2,1,British Home Championship,Glasgow,Scotland,False,False,home_win,1705.6528480625911,1307.5689183246973,398.08392973789387,0.6,0.2,1.8,-2.8,0.39999999999999997,1.0,1
1891-04-04,England,Scotland,2,1,British Home Championship,Blackburn,England,False,False,home_win,1618.9119540839968,1708.5912405736674,-89.67928648967063,0.8,0.8,3.6,2.0,0.0,0.15789473684210525,1
1892-02-27,Wales,Northern Ireland,1,1,British Home Championship,Bangor,Wales,False,False,draw,1375.967117612901,1304.630525813621,71.33659179927986,0.0,0.2,-3.2,-2.4,-0.2,0.7,1
1892-03-05,Northern Ireland,England,0,2,British Home Championship,Belfast,Ireland,False,False,away_win,1307.8702976862285,1638.9525004173356,-331.08220273110715,0.2,0.8,-0.8,2.2,-0.6000000000000001,0.0,1
1892-03-05,Wales,England,0,2,British Home Championship,Wrexham,Wales,False,False,away_win,1372.7273457402935,1643.094785483697,-270.36743974340357,0.0,0.8,-2.8,2.2,-0.8,0.15384615384615385,1
1892-03-19,Northern Ireland,Scotland,2,3,British Home Championship,Belfast,Ireland,False,False,away_win,1303.728012619867,1688.5506942403285,-384.8226816204615,0.2,0.6,-0.6,0.8,-0.39999999999999997,0.0,1
1892-03-26,Scotland,Wales,6,1,British Home Championship,Edinburgh,Scotland,False,False,home_win,1691.6992465025198,1367.1539194724912,324.5453270300286,0.6,0.0,0.4,-2.2,0.6,0.9375,1
1892-04-02,Scotland,England,1,4,British Home Championship,Glasgow,Scotland,False,False,away_win,1695.9791281762489,1648.6682117514993,47.31091642474962,0.8,1.0,1.4,2.6,-0.19999999999999996,0.55,1
1893-02-25,England,Northern Ireland,6,1,British Home Championship,Birmingham,England,False,False,home_win,1666.833592448302,1300.5794603576758,366.2541320906262,1.0,0.0,2.6,-1.8,1.0,1.0,1
1893-03-13,England,Wales,6,0,British Home Championship,Stoke-on-Trent,England,False,False,home_win,1670.2988721144968,1362.8740377987622,307.42483431573464,1.0,0.0,2.6,-2.2,1.0,0.7857142857142857,1
1893-03-18,Wales,Scotland,0,8,British Home Championship,Wrexham,Wales,False,False,away_win,1358.2154080993096,1677.8137474794462,-319.5983393801366,0.0,0.6,-2.8,0.6,-0.6,0.0,1
1893-03-25,Scotland,Northern Ireland,6,1,British Home Championship,Glasgow,Scotland,False,False,home_win,1682.2003126269733,1297.114180691481,385.0861319354924,0.6,0.0,2.0,-1.8,0.6,1.0,1
1893-04-01,England,Scotland,5,2,British Home Championship,Richmond,England,False,False,home_win,1674.9575018139494,1685.3445624132642,-10.387060599314736,1.0,0.8,3.6,3.2,0.19999999999999996,0.23809523809523808,1
1894-02-24,Wales,Northern Ireland,4,1,British Home Championship,Swansea,Wales,False,False,home_win,1353.8288429517825,1293.96993090519,59.85891204659242,0.0,0.0,-4.2,-2.6,0.0,0.6363636363636364,1
1894-03-03,Northern Ireland,England,2,2,British Home Championship,Belfast,Ireland,False,False,draw,1280.6995808275171,1691.4357011700163,-410.73612034249913,0.0,1.0,-3.2,3.8,-1.0,0.0,1
1894-03-12,Wales,England,1,5,British Home Championship,Wrexham,Wales,False,False,away_win,1367.0991930294554,1678.1854284296733,-311.0862354002179,0.2,0.8,-3.6,3.4,-0.6000000000000001,0.13333333333333333,1
